brand,name,processor,Ram,Ram_type,Storage,Storage_type,GPU,display_size,resolution_width,resolution_height,OS,Price
HP,Victus 16-s0095AX Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,16.1,1920,1080,Windows 11 OS,16167812
Lenovo,Yoga 7 82YM0074IN Laptop,7th Gen AMD Ryzen 7 7735U,16,DDR5,1024,SSD,AMD Radeon Graphics,14,2880,1800,Windows 11 OS,17670120
Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,12th Gen Intel Core i5 12500H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,3840,2400,Windows 11 OS,15978120
Dell,Inspiron 3530 2023 Laptop,13th Gen Intel Core i3 1305U,8,DDR4,1024,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,8307720
Acer,Predator 16 NH.QLUSI.005 Laptop,13th Gen Intel Core i9 13900HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,30078120
HP,Victus 15-fb0134AX Gaming Laptop,5th Gen AMD Ryzen 5 5600H,16,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,9962120
Acer,Aspire Lite 2023 AL15-51 Laptop,11th Gen Intel Core i5 1155G7,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7518120
Dell,Inspiron 2023 14 5430 Laptop,13th Gen Intel Core i5 1335U,16,LPDDR5,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,13910120
Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,11th Gen Intel Core i5 11320H,16,DDR4,512,SSD,NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,10810000
Asus,Vivobook Pro 15 M6500QF-HN521WS Laptop,5th Gen AMD Ryzen 5 5600HS,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,11278120
Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,10150120
Asus,VivoBook 14 X415EA-EK326WS Notebook,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,6390120
Dell,Inspiron 5630 Laptop,13th Gen Intel Core i5 1340P,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,16,2560,1600,Windows 11 OS,14286120
Apple,MacBook Air 15 2023 Laptop,Apple M2,8,DDR4,512,SSD,10-Core GPU,15.3,2880,1864,Mac OS,27258120
Asus,Vivobook 15 X1502ZA-EJ542WS Laptop,12th Gen Intel Core i5 12500H ,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,11381332
Asus,Vivobook 15 M1502QA-EJ742WS Laptop,5th Gen AMD Ryzen 7 5800H,16,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows OS,10714120
HP,Pavilion 15-eg3027TU Laptop,13th Gen Intel Core i5 1340p,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,14200204
Dell,G15-5530 GN553064GRM002ORB1 Gaming Laptop,13th Gen Intel Core i5 13450HX,8,DDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,14098120
Asus,TUF Gaming A15 FA577NU-LP082W Gaming Laptop,7th Gen AMD Ryzen 7 7735HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,17858120
Asus,ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,13th Gen Intel Core i9 13980HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,33838120
Asus,Vivobook 16X 2023 K3605ZC-MB541WS Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,14662120
HP,15s-fr5009TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7142120
HP,15-fd0013TU Laptop,13th Gen Intel Core i5 1335U,16,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,11842120
Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,13th Gen Intel Core i7 13700HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,24439812
HP,Pavilion 15-eh2050AU Laptop,5th Gen AMD Ryzen 5 5625U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,9962120
Acer,Predator Helios Neo 16 PHN16-71 Laptop,13th Gen Intel Core i7 13700HX,16,DDR5,512,SSD,NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,19738120
Realme,Book Prime CloudPro002 Laptop,11th Gen Intel Core i5 11320H,8,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,2160,1440,Windows 11 OS,9023812
Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,13th Gen Intel Core i7 13700HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,21525812
HP,Pavilion 15-eg2017TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,9398120
Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7518120
Acer,Nitro 5 AN515-47 2023 Gaming Laptop,7th Gen AMD Ryzen 5 7535HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,12970120
Acer,Nitro 5 AN515-47 Gaming Laptop,7th Gen AMD Ryzen 7 7735HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,15038120
MSI,GF63 Thin 11UC-1293IN Gaming Laptop,11th Gen Intel Core i7 11800H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,12500120
Asus,Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop,5th Gen AMD Ryzen 7 5800H,16,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1200,Windows 11 OS,13158120
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,13th Gen Intel Core i5 13500H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,15.6,2880,1620,Windows 11 OS,16260120
HP,15-fc0025AU Laptop,7th Gen AMD Ryzen 3 7320U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,6164520
Asus,ROG Zephyrus Duo 16,7th Gen AMD Ryzen 9  7945HX ,32,DDR5,2048,SSD,NVIDIA GeForce RTX 4090,16,3840,2400,Windows 11 OS,80838120
Dell,Vostro 3425 M552321WIN9S Laptop,5th Gen AMD Ryzen 5 5625U,16,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,9398120
MSI,Modern 14 C7M-062IN Laptop,7th Gen AMD Ryzen 5 7530U,16,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,8270120
MSI,Modern 14 C11M-030IN Laptop,11th Gen Intel Core i5 1155G7,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,6954120
MSI,Sword 15 A12VF-401IN Gaming Laptop,12th Gen Intel Core i7 12650H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,19362120
Acer,Extensa 15 EX215-33 Laptop,Intel Core i3 N305,8,LPDDR5,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,5638120
HP,Pavilion x360 14-ek1010TU Laptop,13th Gen Intel Core i5 1335U,16,DDR4,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,14643132
Samsung,Galaxy Book 3 NP750XFG-KB1IN Laptop,13th Gen Intel Core i5 1335U,8,LPDDR4x,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,13158120
Samsung,Galaxy Book 3 360 NP750QFG-KA3IN Laptop,13th Gen Intel Core i7 1360P,16,LPDDR4x,1024,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,26130120
HP,Victus 15-fb0777AX Gaming Laptop,5th Gen AMD Ryzen 5  5600H ,8,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,9774120
Samsung,Galaxy Book 3 Laptop,13th Gen Intel Core i5 1340P,8,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,13158120
Asus,Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop,5th Gen AMD Ryzen 5 5600H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13722120
Asus,Vivobook 16X M1603QA-MB512WS Laptop,5th Gen AMD Ryzen 5 5600H,16,DDR4,512,SSD,AMD Radeon Vega 7,16,1200,1920,Windows 11 OS,9475200
Dell,Latitude 3430 Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1366,768,Windows 11 OS,20304000
Dell,Inspiron 3520 Laptop,12th Gen Intel Core i5 1235U,8,DDR4,1024,HDD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9586120
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,11th Gen Intel Core i5 11300H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,9022120
HP,Omen 16-n0079AX Gaming Laptop,6th Gen AMD Ryzen 7  6800H,16,DDR5,512,SSD,AMD Radeon RX 6650M,16.1,1920,1080,Windows 11 OS,17294120
Acer,One 14 Z2-493 Laptop,3rd Gen AMD Ryzen 3  3250U,8,DDR4,256,SSD,AMD Radeon Graphics,14,1366,768,Windows 11 OS,4784412
Acer,Aspire 3 A315-59 Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel Graphics,15.6,1920,1080,Windows 11 OS,6242916
HP,Pavilion 15s-FR5007TU Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9962120
Dell,Vostro 3425 Laptop,5th Gen AMD Ryzen 5 5625U,8,DDR4,512,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,7977592
HP,15s-du3614TU Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,1024,HDD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7933600
HP,Pavilion 15s-eq2182AU Laptop,5th Gen AMD Ryzen 5  5500U ,16,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,7894120
Asus,TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,6th Gen AMD Ryzen 7 6800H ,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050Ti,15.6,1920,1080,Windows 11 OS,15209200
Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7330120
Apple,MacBook Air 2022 Laptop,Apple M2 Apple M2 Chip,8,Unified,512,SSD,10-Core GPU,13.6,2560,1664,Mac OS,25566120
Asus,Vivobook S15 OLED K3502ZA-L501WS Laptop,12th Gen Intel Core i5 12500H,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,13628120
Asus,Vivobook S14 OLED S3402ZA-KM501WS Laptop,12th Gen Intel Core i5 12500H,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,13628120
Dell,Inspiron 3511 Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.56,1920,1080,Windows 11 OS,6766120
Xiaomi,Mi Notebook Ultra Laptop,11th Gen Intel Core i5 11300H ,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,3200,2000,Windows 10 OS,8645932
Dell,Inspiron 3501 Laptop,11th Gen Intel Core i5 1135G7 ,8,DDR4,1024,HDD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 10 OS,9870000
Dell,Latitude 3410 Laptop,10th Gen Intel Core i5 10210U ,8,DDR4,512,SSD,Intel HD Graphics,14,1366,768,Ubuntu OS,11279812
Apple,MacBook Air 2020 MGN73HN Laptop,Apple M1 Apple M1 Chip,8,DDR4,512,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,21242120
Avita,Pura NS14A6 Laptop,3rd Gen AMD Ryzen 5  3500U,8,DDR4,512,SSD,AMD Radeon Vega 8,14,1920,1080,Windows 10 OS,4134120
HP,Victus 15-fa1145TX Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,1024,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,12218120
Lenovo,Thinkpad E14 G4 21E3S00P00 Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,DOS OS,12971812
Lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,7th Gen AMD Ryzen 5 7535HS,8,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,11466120
Dell,Inspiron 3520 IN3520P9K46002ORS1 Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7706120
Lenovo,LOQ 15APH8 82XT004KIN Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,20245720
Lenovo,V15 G4 Laptop,AMD Athlon Silver 7120U,8,LPDDR5,512,SSD,AMD Radeon 610M,15.6,1920,1080,Windows 11 OS,4792120
HP,15s-FR5012TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7331812
Infinix,INBook Y1 Plus 15 XL28 Laptop,10th Gen Intel Core i5 1035G1,8,LPDDR4X,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,11278120
HP,Victus 15-FA1098TX Laptop,12th Gen Intel Core i5 12450H,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,11466120
HP,Victus 15-fb1002AX Gaming Laptop,7th Gen AMD Ryzen 5 7535HS,8,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10434000
HP,Pavilion Plus ‎16-ab0456TX Laptop,13th Gen Intel Core i7 13700H,16,DDR4,1024,SSD,NVIDIA GeForce RTX 3050,16,2560,1600,Windows 11 OS,23499812
HP,Omen 16-XD0007ax Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4050,16.1,1920,1080,Windows 11 OS,19738120
MSI,Katana 15 B12VGK-1295IN Gaming Laptop,12th Gen Intel Core i7 12650H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4070,15.6,1920,1080,Windows 11 OS,25754120
Lenovo,Legion Slim 5 82Y9009JIN Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,24814120
Lenovo,IdeaPad Slim 3 14ITL6 82H701N3IN Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,6860120
Asus,ROG Flow X13 GV302XV-MU016WS Gaming Laptop,7th Gen AMD Ryzen 9  7940HS,16,LPDDR5,1024,SSD,NVIDIA GeForce RTX 4060,13.4,2560,1600,Windows 11 OS,35485376
HP,250 G9 7M657PA Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel Graphics,15.6,1366,768,Windows 11 OS,6955812
Lenovo,Yoga 7 82YL0095IN Laptop,13th Gen Intel Core i5 1340P,16,LPDDR5,1024,SSD,Integrated Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,17463320
Dell,Inspiron 7430 2 in 1 2023 Laptop,13th Gen Intel Core i3 1315U,8,LPDDR5,256,SSD,Integrated Intel UHD Graphics,14,1920,1200,Windows 11 OS,10902120
HP,15s-fy5007TU Laptop,12th Gen Intel Core i5 1235U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,9775812
Lenovo,Yoga Slim 6 83E00006IN Laptop,13th Gen Intel Core i5 13500H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,15038120
Lenovo,IdeaPad Flex 5 14IRU8 82Y00051IN Laptop,13th Gen Intel Core i5 1335U,16,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,14455320
Lenovo,IdeaPad 1 15ALC7 82R400BSIN Laptop,5th Gen AMD Ryzen 5  5500U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,7104520
Acer,One 11 Z8-284 UN.013SI.033 Laptop,Intel Celeron N4500,8,DDR4,128,SSD,Integrated Intel UHD Graphics,11.6,1366,768,Windows 11 OS,3382120
HP,15s-fy5006TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7330120
Lenovo,IdeaPad 3 15ITL6 82H803LJIN Laptop,11th Gen Intel Core i5 1155G7,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7894120
Lenovo,IdeaPad Slim 5 82XD005RIN Laptop,13th Gen Intel Core i5 13420H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,12970120
HP,Pavilion 14-dv2153TU Laptop,12th Gen Intel Core i5 1235U,16,DDR4,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,13158120
Acer,TravelMate P2 TMP214-53 Business Laptop,11th Gen Intel Core i7 1165G7,16,DDR4,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,10714120
Asus,ROG Strix G15 G513RC-HN251WS Gaming Laptop,6th Gen AMD Ryzen 7  6800H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,16918120
MSI,Thin GF63 12UC-846IN Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,11842120
Lenovo,IdeaPad Slim 3 82RK00VWIN Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7142120
Lenovo,IdeaPad Gaming 3 82SB00V4IN Laptop,6th Gen AMD Ryzen 5 6600H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,11090120
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,AMD Athlon 7120U,8,LPDDR5,512,SSD,AMD Radeon 610M Graphics,15.6,1366,768,Windows 11 OS,5074120
Asus,ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop,13th Gen Intel Core i5 13450HX,16,DDR5,1024,SSD,NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,17858120
Asus,ROG Strix G17 G713RC-HX109WS Gaming Laptop,6th Gen AMD Ryzen 7 6800H,16,DDR5,512,SSD,NVIDIA GeForce RTX 3050,17.3,1920,1080,Windows 11 OS,16203532
Chuwi,FreeBook Laptop,12th Gen Intel Core i3 1215U,12,LPDDR4,512,SSD,Integrated Intel UHD Graphics,13.5,2256,1504,Windows 11 OS,7142120
Lenovo,Legion Slim 7 16IRH8 82Y3007QIN Gaming Laptop,13th Gen Intel Core i9 13900H,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,3200,2000,Windows 11 OS,36658120
Lenovo,IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop,11th Gen Intel Core i5 11320H,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,9774120
Lenovo,IdeaPad Slim 3 82H803U0IN Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,6014120
Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,13th Gen Intel Core i3 1305U,8,DDR5,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7894120
Asus,VivoBook 15 X1500EA-EJ311W Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,256,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,6014120
Asus,Vivobook 15 X1504ZA-NJ542WS Laptop,12th Gen Intel Core i5 1235U,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9661320
HP,Pavilion 15-eg3018TU Laptop,13th Gen Intel Core i5 1335U,16,DDR4-,1024,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,14457200
HP,15s-fq3066TU Laptop,Intel Celeron N4500,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1366,768,Windows 11 OS,5243320
Lenovo,IdeaPad 3 82H803HRIN Laptop,11th Gen Intel Core i7 1165G7,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,10714120
Asus,Vivobook Pro 15 M6500QC-HN751WS Laptop,5th Gen AMD Ryzen 7 5800HS,16,DDR4,1024,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13910120
HP,255 G9 841W6PA Laptop,3rd Gen AMD Ryzen 3  3250U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1366,768,DOS 3.0 OS,4699812
HP,255 G8 7J035AA Laptop,5th Gen AMD Ryzen 5  5500U,8,DDR4,256,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,6391812
Lenovo,IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,12th Gen Intel Core i5 12450H,16,LPDDR5,512,SSD,Integrated Intel UHD Graphics,16,1920,1200,Windows 11 OS,11654120
HP,Victus15-fb0147AX Gaming Laptop,5th Gen AMD Ryzen 5  5600H,8,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,9022120
Asus,TUF Gaming F15 FX506HF-HN075W Gaming Laptop,11th Gen Intel Core i5 11260H,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10150120
HP,15S-EQ1550AU Laptop,3rd Gen AMD Ryzen 3  3250U,8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,5995320
Asus,Vivobook Pro 15 M6500QF-HN541WS Creator Laptop,5th Gen AMD Ryzen 5  5600H,16,DDR4,512,SSD,NVIDIA GeForce GTX 2050,15.6,1920,1080,Windows 11 OS,11729320
Wings,Nuvobook Pro Laptop,11th Gen Intel Core i7 1165G7,16,LPDDR4,512,SSD,Integrated Intel Graphics,14,1080,1920,Windows 11 OS,9398120
Wings,Nuvobook S1 Laptop,11th Gen Intel Core i3 1125G4,8,LPDDR4,256,SSD,Integrated Intel Graphics,15.6,1080,1920,Windows 11 OS,5638120
Infinix,INBook X3 Slim Series XL422 Laptop,12th Gen Intel Core i7 1255U,16,LPDDR4X,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,9398120
Dell,Vostro 3430 Laptop,13th Gen Intel Core i3 1305U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,8176120
Dell,Inspiron 7430 2 in 1 Touch Laptop,13th Gen Intel Core i5 1335U,16,LPDDR5,1024,SSD,Integrated Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,17980320
HP,Omen 16-xf0060AX Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,1024,SSD,NVIDIA GeForce RTX 4060,16,1920,1080,Windows 11 OS,23686120
HP,Pavilion 15-eg3017TU Laptop,13th Gen Intel Core i5 1335U,16,DDR4,1024,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,13722120
MSI,Thin GF63 11UCX-1497IN Gaming Laptop,11th Gen Intel Core i5 11260H,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,9022120
HP,Victus 15-fa1060TX Gaming Laptop,13th Gen Intel Core i5 13500H,16,DDR4,512,SSD,NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,18799812
Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7706120
Asus,Zenbook Flip 14 OLED UP5401ZA-KU741WS Laptop,12th Gen Intel Core i7 12700H,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,3840,2400,Windows 11 OS,17858120
Asus,VivoBook 15 X1500EA-EJ326WS Laptop,11th Gen intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7142120
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR5,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,13910120
Lenovo,LOQ 15APH8 82XT009CIN 2023 Gaming Laptop,7th Gen AMD Ryzen 7 7840HS,16,DDR5,512,SSD,NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,20678120
Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,12th Gen Intel Core i5 12450H,8,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,12407812
Acer,Aspire Lite AL15-51 2023 Laptop,5th Gen AMD Ryzen 5 5500U,8,DDR4,512,SSD,Integrated AMD Graphics,15.6,1920,1080,Windows 11 OS,6766120
Asus,Vivobook 15 X1504ZA-NJ321WS Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7140240
MSI,Modern 15 B11M-061IN Laptop,11th Gen Intel Core i5 1155G7,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,7668332
Dell,Alienware M18 R1 2023 Gaming Laptop,13th Gen Intel Core i9 13980HX,64,LPDDR5,1024,SSD,NVIDIA GeForce RTX 4090,18,3200,1800,Windows 11 OS,84607332
Asus,Vivobook 14X K3405ZFB-KM752WS Laptop,12th Gen Intel Core i7 12650H ,16,DDR4,1024,SSD,NVIDIA GeForce RTX 2050,14,2880,1800,Windows 11 OS,16918120
